Offer #;Adams;Allen;Anderson;Bailey;Baker;Barnes;Bell;Bennett;Brooks;Brown;Butler;Campbell;Carter;Clark;Collins;Cook;Cooper;Cox;Cruz;Davis;Diaz;Edwards;Evans;Fisher;Flores;Foster;Garcia;Gomez;Gonzalez;Gray;Green;Gutierrez;Hall;Harris;Hernandez;Hill;Howard;Hughes;Jackson;James;Jenkins;Johnson;Jones;Kelly;King;Lee;Lewis;Long;Lopez;Martin;Martinez;Miller;Mitchell;Moore;Morales;Morgan;Morris;Murphy;Myers;Nelson;Nguyen;Ortiz;Parker;Perez;Perry;Peterson;Phillips;Powell;Price;Ramirez;Reed;Reyes;Richardson;Rivera;Roberts;Robinson;Rodriguez;Rogers;Ross;Russell;Sanchez;Sanders;Scott;Smith;Stewart;Sullivan;Taylor;Thomas;Thompson;Torres;Turner;Walker;Ward;Watson;White;Williams;Wilson;Wood;Wright;Young
1;;;;;;;;;;;1;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;1;;
2;;;;;;;1;;;;;1;;;;;;1;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;
3;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;1;;;1;;1;;;;;;1;
5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;;;;;;;;1;;;;;;;;1;1
7;;;;1;1;;;;;1;;;1;;;;;;;;1;;;;;;;;;;1;;;1;;;;1;;1;;;;;1;;1;1;;;;;;;1;;;1;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;1;;;;;;;1;;;;;;
8;;;;;;;;1;1;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;1;;1;;1;;;1;;;;1;;;;;;;;1;1;;;;1;;1;;;1;;;;;;;;;;;;;1;;;;;;;1;1;;;;1;;;;;;;1;;;
9;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;1
10;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
11;;;;;;;;;1;;;;;1;1;;;;;;;;;1;;;;1;;;;;1;;;;1;;1;;;;;;;;;;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;
12;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;;1;;;;;;;1;;;1;;
15;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1
16;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
17;;;;;;;1;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;1;;;;;1;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;1;;;;;1;;;;;;;1;1;;;;;1;;;;1;;;;
19;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;
21;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1;
22;;;;;;1;;;1;;1;;;;;;;;;1;;;1;1;;1;;;;;;;1;1;;;1;;1;;;;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;1;;;;1;;;;;1;;;1;;;;;;;;;;;;;;1;1;;;;1
23;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
24;;;1;;;;1;;;;;1;;;;1;;1;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;1;;;;;
26;;;1;;;;1;;;;;1;;;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;1;;;1;1;1;;;;;;1;;;;;;;;;;;;
27;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;
28;;;;;;;;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;1;;;;;;;1;;1;;;1;;;;;;1;;1;;;;;;;;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;1;;;;;;;1;;1;;;;;;;;;;;1;;;;;;;;;1;;1;;;;;1;;1;;;;;;
30;1;;;1;;;;;;1;1;;1;;1;;;;1;;1;;;1;;;;;;;;;;;;1;;1;;1;;;;;;;1;;;;;;;;;;;;1;;;;;1;1;;;;1;;;;;;;;;;;;;;;;1;;1;;1;;;;;;1;;1;;;
31;;;;;1;1;;;;;;;;1;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;1;;;1;;;;;1;1;;1;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1;;1;;1
32;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
